person_id,family_name,given_name,item
uk.org.publicwhip/person/22212,Roberts,Wilfrid,http://www.wikidata.org/entity/Q8001983
uk.org.publicwhip/person/22211,Burke,Wilfrid,http://www.wikidata.org/entity/Q8001932
uk.org.publicwhip/person/18698,Paling,Wilfred,http://www.wikidata.org/entity/Q8001857
uk.org.publicwhip/person/17389,Fienburgh,Wilfred,http://www.wikidata.org/entity/Q8001788
uk.org.publicwhip/person/22210,Baker,Bill,http://www.wikidata.org/entity/Q8001738
uk.org.publicwhip/person/18829,Proudfoot,George,http://www.wikidata.org/entity/Q8001677
uk.org.publicwhip/person/18745,Perrins,Wesley,http://www.wikidata.org/entity/Q7983987
uk.org.publicwhip/person/25320,Streeting,Wes,http://www.wikidata.org/entity/Q7983764
uk.org.publicwhip/person/19029,Schofield,Wentworth,http://www.wikidata.org/entity/Q7983034
uk.org.publicwhip/person/19256,Sweeney,Walter,http://www.wikidata.org/entity/Q7966235
uk.org.publicwhip/person/22208,Perkins,Robert,http://www.wikidata.org/entity/Q7965820
uk.org.publicwhip/person/18692,Padley,Walter,http://www.wikidata.org/entity/Q7965776
